4526,31-1,1234.0,+0742,elliptical Gal
4527,37-2,1234.1,+0239,spiral Gal elongated
4535,500-2,1234.3,+0812,spiral Gal elongated
4536,2-5,1234.5,+0211,spiral Gal elongated
4546,160-1,1235.5,-0348,elliptical Gal
4548,120-2,1235.4,+1430,Barred spiral Gal M91
4550,36-1,1235.5,+1213,elliptical Gal
4559,92-1,1236.0,+2758,spiral Gal
4565,24-5,1236.3,+2559,spiral Gal
4570,32-1,1236.9,+0715,elliptical Gal
4594,43-1,1240.0,-1137,spiral Gal M104 The Sombrero Hat
4596,24-1,1239.9,+1011,Barred spiral Gal
4618,178-1,1241.5,+4109,spiral Gal
4631,42-4,1242.1,+3232,spiral Gal
4636,38-2,1242.8,+0241,elliptical Gal
4643,10-1,1243.3,+0159,Barred spiral Gal
4654,126-2,1244.0,+1308,spiral Gal elongated
4656,176-1,1244.0,+3210,peculiar Gal
4660,71-2,1244.5,+1111,elliptical Gal
4665,142-1,1245.1,+0303,Barred spiral Gal
4666,15-1,1245.1,-0028,spiral Gal
4689,128-2,1247.8,+1346,spiral Gal
4697,39-1,1248.6,-0548,elliptical Gal
4698,8-1,1248.4,+0829,spiral Gal elongated
4699,129-1,1249.0,-0840,spiral Gal
4725,84-1,1250.4,+2530,spiral Gal
4753,16-1,1252.4,-0112,spiral Gal elongated
4754,25-1,1252.3,+1119,elliptical Gal
4762,75-2,1252.9,+1114,spiral Gal elongated
4781,134-1,1254.4,-1032,spiral Gal elongated
4800,211-1,1254.6,+4642,spiral Gal
4845,536-2,1258.0,+0135,spiral Gal elongated
4856,68-1,1259.3,-1502,Gal
4866,162-1,1259.5,+1410,spiral Gal
4900,143-1,1300.6,+0230,spiral Gal
4958,130-1,1305.8,-0801,elliptical Gal
4995,42-1,1309.7,-0750,spiral Gal elongated
5005,96-1,1310.9,+3703,spiral Gal
5033,97-1,1313.4,+3636,spiral Gal
5054,513-2,1317.0,-1638,spiral Gal elongated
5195,186-1,1330.0,+4716,peculiar companion to M51
5248,34-1,1337.5,+0853,oval spiral Gal
5273,98-1,1342.1,+3539,elliptical Gal
5322,256-1,1349.3,+6012,elliptical Gal
5363,6-1,1356.1,+0529,Gal
5364,534-2,1356.2,+0501,spiral Gal elongated
5466,9-6,1405.5,+2832,oval Gal
5473,231-1,1404.7,+5454,elliptical Gal next to M101
5474,214-1,1405.0,+5340,spiral Gal
5557,99-1,1418.4,+3630,eliptical Gal
5566,144-1,1420.3,+0356,edge on spiral Gal
5576,146-1,1421.1,+0316,elliptical Gal
5631,236-1,1426.6,+5635,spiral Gal
5634,70-1,1429.6,-0559,oval Gal
5676,189-1,1432.8,+4948,oval spiral Gal
