57 $Delta Dra,19.12331,67.3941,3.07
T $Sgr ~,19.16165,-16.5841,8
R $Sgr ~,19.16416,-19.1825,6.6
1 $Kappa Cyg,19.1706,53.2207,3.77
44 $Rho-1 Sgr,19.21402,-17.505,3.93
$Beta-1 Sgr,19.22381,-44.2732,3.93
$Alpha Sgr,19.2353,-40.3658,3.97
30 $Delta Aql,19.25297,3.0653,3.36
RR $Lyr ~,19.25276,42.4704,7.2
10 $Iota Cyg,19.29421,51.4347,3.79
6 $Beta Cyg #Albireo *,19.30431,27.5735,3.08
R $Cyg ~,19.36492,50.1159,6.5
RT $Cyg ~,19.43377,48.4642,6.2
18 $Delta Cyg *,19.44584,45.0751,2.86
50 $Gamma Aql,19.46154,10.3648,2.72
7 $Delta Sge,19.4723,18.3203,3.82
63 $Epsilon Dra,19.48102,70.1604,3.83
52 $Pi Aql *,19.48419,11.4857,5.7
8 $Zeta Sge *,19.49,19.09,5.04
$Chi Cyg ~,19.50337,32.5451,4.23
53 $Alpha Aql #Altair,19.50468,8.5206,.77
55 $Eta Aql ~,19.52281,1.002,3.9
60 $Beta Aql,19.55185,6.2424,3.71
21 $Eta Cyg,19.56182,35.05,3.89
12 $Gamma Sge,19.58453,19.2932,3.47
$Epsilon Pav,20.00354,-72.5438,3.96
$Delta Pav,20.08433,-66.1056,3.56
65 $Theta Aql,20.11181,-0.4917,3.23
31 $Omicron-1 Cyg,20.13377,46.4429,3.79
32 $Omicron-2 Cyg,20.15281,47.4251,3.98
6 $Alpha-2 Cap,20.18031,-12.3242,3.57
U $Cyg ~,20.19415,47.542,7.87
9 $Beta Cap,20.21005,-14.4653,3.08
37 $Gamma Cyg,20.22135,40.1524,2.2
$Alpha Pav,20.25387,-56.4406,1.94
6 $Beta Del,20.37328,14.3543,3.54
$Alpha Ind,20.37339,-47.1729,3.11
9 $Alpha Del,20.39381,15.5443,3.77
50 $Alpha Cyg #Deneb,20.41258,45.1649,1.25
$Beta Pav,20.44574,-66.1212,3.42
3 $Eta Cep,20.45172,61.502,3.43
53 $Epsilon Cyg,20.46125,33.5813,2.46
2 $Epsilon Aqr,20.47403,-9.2945,3.77
T $Aqr ~,20.49562,-5.0849,6.7
4 $Aqr *,20.51255,-5.3735,5.99
$Beta Ind,20.54485,-58.2715,3.65
58 $Nu Cyg,20.57102,41.1002,3.94
62 $Xi Cyg,21.04557,43.554,3.72
T $Cep ~,21.09318,68.2925,7.33
61 $Cyg *,21.0654,38.45,4.81
64 $Zeta Cyg,21.1256,30.1337,3.2
65 $Tau Cyg *,21.14473,38.0244,3.72
8 $Alpha Equ,21.15493,5.1452,3.92
5 $Alpha Cep,21.18346,62.3508,2.44
34 $Zeta Cap,21.26399,-22.2441,3.74
8 $Beta Cep,21.28394,70.3339,3.23
22 $Beta Aqr,21.31333,-5.3416,2.91
40 $Gamma Cap,21.40052,-16.3945,3.68
RU $Cyg ~,21.40387,54.1929,6.8
$Nu Oct,21.41286,-77.2324,3.76
8 $Epsilon Peg,21.4411,9.523,2.38
49 $Delta Cap,21.47023,-16.0738,2.87
$Gamma Gru,21.53556,-37.2154,3.01
34 $Alpha Aqr,22.05468,-0.1911,2.96
24 $Iota Peg,22.07005,25.2042,3.76
$Alpha Gru,22.08138,-46.574,1.74
26 $Theta Peg,22.10118,6.1152,3.53
21 $Zeta Cep,22.10511,58.1205,3.35
$Alpha Tuc,22.18301,-60.1535,2.86
48 $Gamma Aqr,22.21392,-1.2314,3.84
55 $Zeta-2 Aqr *,22.28499,-0.0112,3.65
27 $Delta Cep ~*,22.29101,58.2455,3.75
